"n_markers","noise_frac","rep","prop_cor_mean","prop_cor_min","auroc","cci_true","cci_bg","cci_separation","runtime"
5,0.5,2,0.734737350734844,-0.129360857574783,0.991967857142902,0.294063680011831,0.768830216220906,0.474766536209075,0.00994586944580078
5,0.5,3,0.914378365412321,0.761129144299433,0.987333928571459,0.31442450834079,0.766951603248855,0.452527094908065,0.00988388061523438
5,0.5,4,0.848423609195143,0.62364136961636,0.961778571428571,0.353951660670511,0.787876080345576,0.433924419675065,0.00986909866333008
5,0.5,5,0.906610066492393,0.724972569597091,0.933926785714259,0.353721518635938,0.770156707422194,0.416435188786256,0.0102951526641846
7,0,1,0.924034490678008,0.744943073791376,0.998344642857165,0.278379441970811,0.728757444507738,0.450378002536927,0.00977301597595215
7,0,2,0.912172160451054,0.707300815893008,0.987987500000006,0.258103644175189,0.653042618258282,0.394938974083094,0.00983190536499023
7,0,3,0.959328100253463,0.888807033537179,0.969094642857141,0.290453001651227,0.722606038593533,0.432153036942306,0.0098259449005127
7,0,4,0.973242797926504,0.954767526404651,0.991335714285731,0.276053895825978,0.72449691170907,0.448443015883092,0.00969386100769043
7,0,5,0.767002788273752,-0.0529588363640919,0.992394642857175,0.310320470287398,0.73134329440775,0.421022824120352,0.00966095924377441
7,0.1,1,0.949633869509427,0.867666233608297,0.99250000000005,0.301792898048928,0.740589986745494,0.438797088696567,0.0112431049346924
7,0.1,2,0.927098919836867,0.743482353063522,0.992546428571449,0.245851043907763,0.705860999838377,0.460009955930614,0.0109460353851318
7,0.1,3,0.913308693785508,0.691253758549922,0.958853571428546,0.312016850372375,0.72195673256933,0.409939882196955,0.0130219459533691
7,0.1,4,0.945871358675524,0.888452695717686,0.995275000000057,0.230826078405353,0.716569852702336,0.485743774296982,0.0108368396759033
7,0.1,5,0.847660901628773,0.409678786323792,0.990739285714315,0.328198603151696,0.764762229157709,0.436563626006013,0.0113210678100586
7,0.25,1,0.966493371095078,0.936060519495509,0.990107142857175,0.283888336784649,0.735524614324874,0.451636277540225,0.0121428966522217
