"Gene","logFC.unadj","logFC.adj","CCI","CCI_lower_approx","CCI_upper_approx","adj.P.Val.adj","CCI_Rank_Tier","Boot_CCI_median","Boot_CCI_lower","Boot_CCI_upper","Boot_CCI_rank_median","Boot_CCI_rank_lower","Boot_CCI_rank_upper","Prob_CCI_lt_0_2","Prob_CCI_gt_0_5","Prob_top5_low_CCI","Bootstrap_Evaluable","CCI_variant","CompositionTransform","Seed","N_Bootstrap_Per_Seed","PriorityGene"
"TFRC",0.831383091727272,0.72430138845612,0.128799472032419,0,0.774246461009249,0.0124114052876505,"Lowest",0.280489722073487,0.0575566919379572,0.512097990205186,13,3,17,0.295,0.035,0.04,200,"stabilized","ilr",2026,200,FALSE
"TFRC",0.831383091727272,0.72430138845612,0.128799472032419,0,0.774246461009249,0.0124114052876505,"Lowest",0.257938890952828,0.0707893560255555,0.477134503987554,13,4,17,0.33,0.025,0.045,200,"stabilized","ilr",31415,200,FALSE
"IL1B",3.92305948124242,3.4803460728192,0.112849017594558,0,0.358859311840162,1.61207228443537e-08,"Lowest",0.0546224692562492,0.00169144780746815,0.170263258541528,5,1,9,0.995,0,0.695,200,"stabilized","ilr",42,200,TRUE
"IL1B",3.92305948124242,3.4803460728192,0.112849017594558,0,0.358859311840162,1.61207228443537e-08,"Lowest",0.0626926840017429,0.00676439860364517,0.166602370448094,5,1,9,0.99,0,0.72,200,"stabilized","ilr",2026,200,TRUE
"IL1B",3.92305948124242,3.4803460728192,0.112849017594558,0,0.358859311840162,1.61207228443537e-08,"Lowest",0.057950466392822,0.00473145813803236,0.153954630908645,5,1,8.02500000000001,1,0,0.735,200,"stabilized","ilr",31415,200,TRUE
"NFKB1",1.42658611866666,1.3127126867332,0.0798223328009763,0,0.385269784352465,5.85983681822501e-07,"Lowest",0.0479603886095202,0.00367564965800284,0.150976556059433,4,1,10,0.985,0,0.72,200,"stabilized","ilr",42,200,TRUE
"NFKB1",1.42658611866666,1.3127126867332,0.0798223328009763,0,0.385269784352465,5.85983681822501e-07,"Lowest",0.0522504557477293,0.00342513767732998,0.172354412959716,4,1,9,0.99,0,0.71,200,"stabilized","ilr",2026,200,TRUE
"NFKB1",1.42658611866666,1.3127126867332,0.0798223328009763,0,0.385269784352465,5.85983681822501e-07,"Lowest",0.0530004295720279,0.00549691027735553,0.166956339546502,4,1,9.02500000000001,0.995,0,0.745,200,"stabilized","ilr",31415,200,TRUE
"SLC7A11",3.28154465387878,3.04592226031941,0.0718022816727081,0,0.399701288304227,1.4701121402751e-06,"Lowest",0.0386546657084146,0.00185211790257693,0.130607570383221,3,1,9,0.995,0,0.835,200,"stabilized","ilr",42,200,TRUE
"SLC7A11",3.28154465387878,3.04592226031941,0.0718022816727081,0,0.399701288304227,1.4701121402751e-06,"Lowest",0.0341271401382724,0.00286368180427169,0.1439248025632,3,1,8,0.995,0,0.915,200,"stabilized","ilr",2026,200,TRUE
"SLC7A11",3.28154465387878,3.04592226031941,0.0718022816727081,0,0.399701288304227,1.4701121402751e-06,"Lowest",0.0350781578960373,0.00346416684547565,0.121659062609693,3,1,7,0.995,0,0.875,200,"stabilized","ilr",31415,200,TRUE
"STAT1",-0.223232588212121,-0.416379165943796,0.865225723890019,0,1,0.175201344498869,"High",0.811450825043589,0.151101760368987,1,19,9.975,20,0.035,0.785,0.015,200,"stabilized","ilr",42,200,TRUE
"STAT1",-0.223232588212121,-0.416379165943796,0.865225723890019,0,1,0.175201344498869,"High",0.825922081443798,0.176873234228194,1,19.5,10,20,0.03,0.805,0.01,200,"stabilized","ilr",2026,200,TRUE
"STAT1",-0.223232588212121,-0.416379165943796,0.865225723890019,0,1,0.175201344498869,"High",0.84237604004099,0.192302531265424,1,19,11.95,20,0.03,0.79,0.01,200,"stabilized","ilr",31415,200,TRUE
"TNF",2.61610960542424,2.33629528350058,0.106958179941504,0,0.397594145946805,3.19117925973943e-07,"Lowest",0.038848140657045,0.00228245527139154,0.184952029532047,3,1,12,0.975,0,0.74,200,"stabilized","ilr",42,200,TRUE
"TNF",2.61610960542424,2.33629528350058,0.106958179941504,0,0.397594145946805,3.19117925973943e-07,"Lowest",0.0478959039858969,0.00298801675259208,0.202155677097352,3,1,11.025,0.97,0,0.69,200,"stabilized","ilr",2026,200,TRUE
"TNF",2.61610960542424,2.33629528350058,0.106958179941504,0,0.397594145946805,3.19117925973943e-07,"Lowest",0.0414376712692633,0.00114260534233005,0.187361165777312,3,1,12,0.985,0,0.73,200,"stabilized","ilr",31415,200,TRUE
