gene,logFC_unadj,logFC_adj,se_unadj,se_adj,p_unadj,p_adj,CCI,CCI_signed,FDR_unadj,FDR_adj
SPOCK2,-0.549044328006629,0.16572482791007304,0.3338669868923944,0.2040229997725326,0.11367340041337887,0.4266888285892355,1.0,1.301842345793384,0.45074298743788005,0.6505220610681435
SPON2,1.0416926137169429,0.7893395461374686,0.3891907532501365,0.2895543683424037,0.013475951334994142,0.01341290134783237,0.2422529105577835,-0.2422529105577835,0.219247830358109,0.1299743320837184
SPOP,-0.0005077139859832539,0.08699406808843153,0.07756471629957705,0.0992916521559051,0.9948337830997065,0.391892852408395,,,0.9984798105555197,0.6221535682256465
SPOPL,0.0940798920741713,-0.06898796655309673,0.1989018933088603,0.16748692518710356,0.6406737654943855,0.6850220279714818,,,0.8697116206889867,0.8329893207849333
SPPL2A,0.3581148047953081,0.30951736085771353,0.08982613841199841,0.09523947142181335,0.0005813493582048319,0.0042148058868462825,0.1357035321825692,-0.1357035321825692,0.09473613725798857,0.08894615270154277
SPPL3,-0.008052244130858071,0.01565431501819167,0.09118530033351073,0.10571329629443091,0.9303975618733825,0.8838377241022676,,,0.9777021305320659,0.9447079667651892
SPR,0.006053293421486545,0.049725714922941255,0.18017389503178177,0.16619837757026404,0.9734884227723017,0.7680394214893127,,,0.9925248872819425,0.880497944324762
SPRED1,-0.36223340443038105,-0.6727758308382288,0.26585662808587407,0.25085061302684,0.18622967686812886,0.014751255884281339,0.8572992512829722,-0.8572992512829722,0.5481865424349879,0.13440018903606066
SPRED2,0.26852896408215426,0.19101461219853624,0.09369654616297256,0.11803697187415307,0.008735184568226207,0.12208728151190829,0.2886629088544174,-0.2886629088544174,0.195691010230114,0.33693834043124804
SPRTN,0.043116760074148754,0.07296311208644303,0.08434509276550117,0.07741531176479023,0.6140873099188986,0.357772723420518,,,0.8578251142379931,0.5929049986589396
SPRY1,-0.394588840048438,-0.23306835475628745,0.2614511338846748,0.3020815031328171,0.14485703659000426,0.44987605407567743,0.4093387062652938,0.4093387062652938,0.49684501331724723,0.669870948213047
SPRY2,0.025516738920306224,-0.05704244898086874,0.1432354103996235,0.18066770921930983,0.8601685022989426,0.7556483574934807,,,0.9572287867540732,0.8755534840243865
SPRY3,0.017710826602824057,0.05184162913373865,0.07305625559356982,0.08502167693753014,0.8105978490863068,0.5492534450264142,,,0.94076476687464,0.7430976260675395
SPRYD3,-0.02089664834230244,0.01529563278609904,0.08941028625196504,0.10537230074456837,0.8172728912262268,0.8861149414454641,,,0.9431214672635333,0.9455803207501358
SPRYD4,0.33305814989435606,0.430594546091142,0.11788952763094926,0.15982541815110549,0.009597745277816394,0.014369255022063224,0.2928509517864189,0.2928509517864189,0.20094298725839776,0.13346474018499674
