"Gene","logFC.unadj","AveExpr","P.Value.unadj","adj.P.Val.unadj","logFC.adj","P.Value.adj","adj.P.Val.adj","CCI"
"MBD5",-0.56377305590909,-0.160196904431818,0.000471832855781064,0.00178906083721673,-0.992335361859531,0.00283300283683557,0.055656647268283,0.760168123429346
"MBD6",-0.130464664727273,-0.060314451,0.107922403052771,0.16791860963147,-0.328937874233838,0.0558062097324128,0.290032029407563,1
"MBIP",-0.180057339545454,-0.0850668919772727,0.138114254804519,0.206629530009143,0.138160147533517,0.578861312217739,0.84265569101626,1
"MBL1P",0.0944479684242423,0.0462774334090909,0.234925861894817,0.320442116809135,-0.0241335307865031,0.888273132920762,0.968249827891873,NA
"MBL2",0.114001143684848,0.0155287576,0.00442827710299127,0.0116935646759464,0.1318306096874,0.155198841229405,0.484893655466196,0.156397255555968
"MBLAC1",0.122629833957576,0.0518210240772727,0.101903510896381,0.160446966458939,0.0468739877408736,0.781233267139756,0.930153844560042,0.617760326112079
"MBLAC2",-1.30314615063636,-0.37947797975,3.66826675222939e-11,1.752479563621e-09,-1.31939007935266,0.000122470881625778,0.0088746375519544,0.012465162643778
"MBNL1",-0.236459863909091,-0.0590424875227273,0.237388432759345,0.323120019222118,-0.131205515780798,0.762444671424037,0.921818462266495,0.445125639456338
"MBNL1-AS1",0.511760234381817,0.133213334213636,0.00100153228011665,0.00338627641575223,0.471555333477772,0.168321874592674,0.505628587976728,0.0785619870457714
"MBNL2",-0.0938629379090905,-0.0132383252045455,0.470033556450317,0.560163323734389,0.341242764339999,0.235515001645477,0.590169310037452,NA
"MBNL3",0.536975625048484,0.185291694031818,0.0330811972906796,0.0624789040543436,-0.0247075706168195,0.946370365918964,0.984958176927427,1
"MBOAT1",-0.817888466090908,-0.210718871159091,1.08708260487907e-07,1.35576815919962e-06,-0.556483841720761,0.0188094202563276,0.165775967632636,0.319609134017415
"MBOAT2",1.15024665142424,0.329914836340909,1.23443492569218e-07,1.50727537100024e-06,0.0115390553570324,0.963083073222193,0.989445410665009,0.989968190437464
"MBOAT7",-0.152084521060606,0.03976469625,0.399985574275699,0.4912688755195,-0.137123886762885,0.731623588934073,0.910319975627054,0.0983705257667803
"MBP",0.219281278454545,0.0993167720681818,0.0976387793123298,0.154817057634007,0.230721466836585,0.450270394074331,0.769703606488533,0.0521712955281338
"MBP-AS1",0.0534554341818181,0.0122486019090909,0.189315481588208,0.268519667196877,0.00351302711880714,0.970338371396778,0.991683760522796,NA
"MBTD1",-0.356547612121212,-0.0665661379090909,0.0341070074622845,0.0641461110441135,-0.293248089611431,0.442341528298336,0.764240305693674,0.17753455739948
"MBTPS1",0.0469092038666667,-0.0296840289,0.589283138344123,0.668942240024386,0.31071179825414,0.124077190011374,0.433192904415602,NA
"MBTPS2",-0.815085053242423,-0.260454342795455,7.03433233628873e-08,9.44768346172615e-07,-1.13196147659109,0.000184893901212259,0.0110290761463346,0.388764855996471
"MC1R",0.0466275336363636,-0.0180929785,0.616375527018179,0.692526423119543,-0.178589333147654,0.402696359099105,0.737973307558642,NA
"MC2R",0.074396527030303,0.0294972558181818,0.1267894447001,0.192354972404847,0.0944662476322226,0.372803653990661,0.716710661772647,NA
"MC3R",0.0755575743939393,0.0166996841136364,0.106223618245185,0.165831227986397,0.0825588279161691,0.446211452818477,0.766814482691446,NA
"MC4R",-0.058382283121212,-0.0101752535681818,0.233425106787042,0.318843108317595,-0.0589407088075799,0.611224137449449,0.858719940743336,NA
"MC5R",0.0640057957272727,0.01082252375,0.138371251978518,0.2069415285385,-0.0374300324207749,0.710413297169578,0.902021634904737,NA
"MCAM",0.575535645393939,0.1488383705,3.01887671861129e-06,2.34594711938148e-05,0.550775020024773,0.0283699078736646,0.2052996891366,0.043021879821566
"MCAT",0.0448496073939393,0.0789462520909091,0.619373795619711,0.695155694826243,0.230322264209076,0.280406312481867,0.634401385410976,NA
"MCC",-0.358615270345454,-0.00914776415,0.00948110642388195,0.0220662684523619,-0.186148928135373,0.505953675838872,0.802654493839921,0.480923029417972
"MCCC1",-0.754498235696968,-0.156599503227273,1.09021804232281e-07,1.35752806377864e-06,-0.3966839650372,0.145101632249576,0.468183353740928,0.474241361650418
"MCCC2",-0.229865763515151,0.00748249263636363,0.0647945805803398,0.109538336628654,-0.0587068599712622,0.830221634277087,0.948196759010974,0.744603724045262
"MCEE",-1.00481247824242,-0.267419244954545,2.2007851654375e-14,4.56289002018619e-12,-0.762090946753906,0.000680697362012795,0.0242656019251335,0.241559033893643
"MCEMP1",1.11752708448485,0.349013637545455,5.1821532269018e-06,3.7135866496808e-05,0.732585296330597,0.0531851774446942,0.28421329762528,0.344458575992097
"MCF2",-0.0482047951818182,0.02456223475,0.606032206610645,0.68367577599662,-0.132734466667494,0.551479747947494,0.82888865550526,NA
"MCF2L",-0.866859210969696,-0.3140733235,1.53543207501944e-06,1.30012497866932e-05,-0.795228918538096,0.0217626031841412,0.179396990166054,0.0826319793631454
"MCF2L-AS1",-0.056585861030303,-0.0137771685,0.449296299690611,0.540152140961155,0.0788243900510728,0.638373368950892,0.871530017579322,NA
"MCF2L2",-0.0768120276060606,0.160270599340909,0.583417149142706,0.663506593058803,-0.221978117517538,0.503642496088455,0.801675285158726,NA
